"name","value"
"level","Nive"
"permission.CartManagement","Gestión de carros"
"permission.CartCreateOrder","Realizar pedido"
"permission.OrderManagement","Gestión de pedido"
"viewOrderDetails","Ver detalles del pedi"
"permission.OrderExport","Orden de exportación"
"permission.OrderList","Ver historial de pedido"
"edit","Actualizar"
"day","Día"
"month","Mes"
"per","Por"
"noProductsFound","No se encontraron productos que coincidan con su selección"
"removeReferenceSuccess","Eliminar referencia con éxito"
"addReferenceSuccess","Añadir referencia con éxito"
"someItemInvalidReOrder","Los siguientes productos no se reordenaron correctamente porque"
"createEmploySuccess","Nuevo empleado ha sido creado exitosamente"
"updateEmploySuccess","El empleado ha sido actualizado con éxito"
"validatePassword","La contraseña debe tener al menos 7 caracteres y contener caracteres alfabéticos, numéricos y especiales."
"updateYourPassword","ACTUALIZA TU CONTRASEÑA"
"reoder","Reordenar"
"reason","Razón"
"yourOrderNumber","Su numero de orden es #{{orderId}}"
"shippingFee","Costo de envío"
"shippingCost","Costo de envío"
"hasBeenDeleted","ha sido eliminado"
"hasBeenAdded","Ha sido agregado a tu carro"
"handlingCost","Costo de manipulación"
"updateCartSuccessFully","Actualizar carrito con éxito"
"newPasswordRequired","La nueva contraseña es un campo obligatorio"
"confirmNewPasswordRequired","Confirmar nueva contraseña es un campo obligatorio"
"missingInformationRequired","Información faltante requerida"
"Agent","Agente"
"emailRequired","Correo electronico es requerido"
"resetPasswordSuccess","Tu contraseña ha sido actualizada"
"messagePasswordNotMatch","Las contraseñas no coinciden"
"currentPasswordRequired","La contraseña actual es un campo obligatorio"
"currenyNotAvailble","Esta moneda ya no está disponible"
"productOutOfStock","El producto no está en stock"
"messageEnoughStock","No tenemos suficientes existencias de {{productName}} disponibles para la cantidad que seleccionó. Inténtalo de nuevo"
"messageWarningMultiplier","La cantidad debe ser múltiplos de {{amount}}"
"shopAll","Comprar todo"
"resetAllFilters","Restablecer todos los filtros"
"price","Precio"
"filter","Filtrar"
"show","Espectáculo"
"sku","SKU"
"category","Categoría"
"stock","Valores"
"addToCart","Añadir a la cesta"
"description","Descripción"
"backorder","Pedido pendiente"
"additionalInformation","Información Adicional"
"variant","Variante"
"orderQuantity","Ordene la cantidad"
"couponCode","Código promocional"
"Senior","Sénior"
"Junior","Júnior"
"Owner","Dueño"
"messageSessionExpired","Su sesión de inicio de sesión ha caducado. Por favor inicie sesión de nuevo para continuar"
"youDontHavePermissionToPerformThisAction","No tienes permiso para realizar la acción."
"account_not_exist","Su cuenta no existe en nuestro sistema"
"createdBy","Creado por"
"assignee","Cesionario"
"sentDate","Fecha enviada"
"expirationDate","Fecha de caducidad"
"actions","Comportamiento"
"status","Estado"
"quoteStatusCode.DRAFT","RECLUTAR"
"quoteStatusCode.NEW","NUEVO"
"quoteStatusCode.IN_PROGRESS","EN PROGRESO"
"quoteStatusCode.SENT","ENVIADO"
"quoteStatusCode.PENDING_APPROVAL","APROBACIÓN PENDIENTE"
"quoteStatusCode.SUBMITTED","PRESENTADO"
"quoteStatusCode.ORDERED","ORDENADO"
"quoteStatusCode.EXPIRED","CADUCADO"
"quoteStatusCode.DECLINED","RECHAZADO"
"quote","COTIZACIÓN DE VENTA"
"createQuote","CREAR NUEVA COTIZACIÓN"
"searchQuote","Buscar cotización"
"from","De"
"company","Compañía"
"clearAll","Limpiar todo"
"search","Búsqueda"
"lastUpdate","Última actualización"
"send","Enviar"
"delete","Borrar"
"messageDeleteQuote1","Esta cotización será eliminada./n¿Desea continuar?"
"messageUpdateProductsQuote","Actualice su lista de productos cotizados antes de continuar."
"quoteRequestSuccessSubTitle","La cotización ha sido enviada con éxito"
"viewQuoteDetails","Ver detalle de cotización"
"submitQuoteRequest","Enviar solicitud de cotización"
"contentModalConfirmQuoteCheckout","Esta cotización se realizará como un pedido separado de su carrito actual, los datos de su carrito actual permanecerán después del pago. Quieres proceder?"
"quoteID","Identificación de cotización"
"quoteId","COTIZAR #"
"quoteValidateCheckout","El pago de la cotización no es exitoso porque"
"quoteList","Lista de cotizaciones"
"enterCustomerMessage","Ingrese su mensaje de cliente aquí"
"enterQuoteNote","Ingrese su Nota de Cotización aquí"
"companyInformation","Información de la empresa"
"ownerName","Nombre del dueño"
"ownerEmail","Correo electrónico del propietario"
"phoneNumber","Número de teléfono"
"quoteInformation","Información de cotización"
"quoteExpirationDate","Fecha de vencimiento de la cotización"
"customerMessage","Mensaje del cliente"
"message","Mensaje del cliente"
"quoteNote","Nota de cotización"
"shippingInformation","Información de envío"
"selectExistingAddress","Seleccionar dirección existente"
"firstName","Primer nombre"
"lastName","Apellido"
"address","Dirección"
"city","Ciudad"
"country","País"
"postCode","Código postal"
"postcodeZip","Código postal"
"billingInformation","Datos de facturación"
"products","productos"
"item","Artículo"
"quantity","Cantidad"
"tradePrice","Precio comercio"
"quotedPrice","Precio de cuota"
"lineTotal","Linea total"
"tradePriceTotal","Precio comercial total"
"discount","Descuento"
"quoteSubtotal","Subtotal de cotización"
"shippingMethod","Método de envío"
"tax","Impuesto"
"grandTotal","Gran total"
"productOptions","Opciones de productos"
"cancel","Cancelar"
"save","Salvar"
"titleModalQuoteValidateSend","Advertencia: Enviar cotización no es exitoso"
"quoteValidateSend","Enviar cotización no es exitoso porque"
"quotesManagement","Gestión de cotizaciones"
"checkout","Verificar"
"decline","Rechazar"
"backToOrderHistory","Volver al historial de pedidos"
"yes","Sí"
"detailQuote","Detalles de cotización"
"validTill","Válida hasta"
"orderID","Solicitar ID"
"thisProductCurrentlyIsNotPurchasable","Este producto actualmente no se puede comprar. Por favor, inténtelo de nuevo más tarde"
"messageConfirmSendQuoteInQuoteListScreen","¿Estás seguro de enviar la cotización?"
"messageSendQuoteSuccess","Enviar cotización exitosa"
"submit_quote_error","Se ha producido un error. Inténtalo de nuevo"
"messageConfirmDelItemFromQuote","¿Quieres eliminar este artículo de la lista de cotizaciones?"
"discountPerItem","Descuento por artículo"
"orderTotalPercentage","Porcentaje total del pedido"
"orderFixedAmount","Importe fijo del pedido"
"assignedAgent","Agente asignado"
"messageConfirmDelItemFromQuoteRequest","¿Desea eliminar este artículo de la cotización?"
"quoteItems","Artículos de cotización"
"quoteConfirmation","Confirmación de cotización"
"noProductInQuote","No hay productos agregados a la cotización"
"backToShop","Volver a la tienda"
"addToQuote","Agregar a cotización"
"subtotal","Total parcial"
"updateQuote","Actualizar cotización"
"add","Agregar"
"textRemove","Eliminar"
"total","Total"
"next","Próximo"
"billingAddress","Dirección de Envio"
"shippingAddress","Dirección de Envío"
"hasBeenAddedToYourCart","{{entries}} Se han agregado artículos a su carrito."
"viewQuote","Ver cotización"
"sendQuote","Enviar cotización"
"messageConfirmDeclineQuote","Esta cotización será rechazada. Quieres proceder?"
"messageDeclineQuoteSuccess","Esta cotización ha sido rechazada con éxito"
"messageConfirmSendQuote","¿Estás seguro de enviar cotización? Los datos en la sección de productos no se actualizarán."
"enterQuoteNoteHere","Ingrese la nota de cotización aquí"
"pleaseInputField","Por favor ingrese {{fieldName}}"
"time","Hora"
"pleaseSelectField","Seleccione {{fieldName}}"
"txtCopyInformationFromShippingToBilling","Mi dirección de facturación es la misma que la dirección de envío"
"permissionSeeInfomation","Lo sentimos, no está autorizado para ver la información."
"enterMessage","Introduzca el mensaje aquí"
"discountAmount","Importe de descuento"
"hasBeenAddedToQuote","se ha agregado a su cotización"
"Employee","Empleado"
"aToZ","De la A a la Z"
"accountAddressDes","Las siguientes direcciones se utilizarán en la página de pago de forma predeterminada"
"accountDetails","Detalles de la cuenta"
"accountPageDes","Hola Editor (¿no es Editor? Cerrar sesión) Desde el panel de control de su cuenta puede ver sus pedidos recientes, administrar sus direcciones de envío y facturación, y editar su contraseña y los detalles de su cuenta"
"action","Acción"
"addAddress","Añadir dirección"
"addLimit","Añadir límite"
"addNewLimit","Agregar nuevo límite"
"addToWishlist","Añadir a la lista de deseos"
"addresses","Direcciones"
"allCategories","Todas las categorias"
"allow","Permitir"
"anEmailWithALinkToResetYour","Se ha enviado un correo electrónico con un enlace para restablecer su contraseña a"
"andText","y"
"anyUnsavedChangesWillBeLost","Cualquier cambio no guardado se perderá."
"apply","Aplicar"
"applyCoupon","Aplicar cupón"
"applyCouponSuccess","Aplicar cupón con éxito"
"areYouSureToDeleteThisLimit","¿Estás seguro de eliminar este límite?"
"asAB2BBuyer","Como comprador B2B"
"asAnAgent","Como agente"
"assignedAgents","Agentes asignados"
"attributes","Atributos"
"autoGenerate","Generar automáticamente"
"backToCompanyOrderHistory","Volver al historial de pedidos de la empresa"
"backToHome","De vuelta a casa"
"backToLogin","Atrás para iniciar sesión"
"bestReviewed","Mejor revisado"
"bestSelling","Más vendido"
"billingDetails","Detalles de facturación"
"brands","Marcas"
"bulkOrder","PEDIDO A GRANEL"
"bulkOrderViaCSV","Pedido al por mayor a través de CSV"
"callNow","LLÁMANOS AHORA"
"cartTotals","Totales del carrito"
"categories","Categorías"
"clickToLogin","Haga clic aquí para ingresar"
"companyAddressBook","Libreta de direcciones de la empresa"
"companyAvailableLimit","Límite disponible de la empresa"
"companyEmployees","Empleados de la empresa"
"companyName","nombre de empresa"
"companyOrderHistory","Historial de pedidos de la empresa"
"confirmNewPassword","Confirmar nueva contraseña"
"countryRegion","Región"
"couponCodeMessage","El cupón no es aplicable a la moneda seleccionada"
"create","Crear"
"createEmployee","Crear empleado"
"currentLimitPeriod","Período límite actual"
"currentPassword","contraseña actual"
"customerReference","Referencia de cliente"
"dailyLimit","Límite diario"
"dashboard","Tablero"
"dashboardMessageAccount","Hola <0>{{fullName}}</0> (No <1>{{fullName}}?</1> <2>Cerrar sesión</2>)"
"date","Fecha"
"defaultBilling","Facturación predeterminada"
"defaultShipping","Envío predeterminado"
"defaultSorting","Clasificación por defecto"
"disabled","Desactivado"
"discard","Desechar"
"discountCoupon","Cupón de descuento"
"doYouWantToProcess","¿Quieres tramitar?"
"editAccountSuccess","Editar cuenta con éxito"
"editEmployee","Editar empleado"
"editRole","Editar rol"
"editYourPasswordAndAccountDetails","edite su contraseña y los detalles de su cuenta"
"email","Email"
"emailAddress","E-mail"
"emailAlreadyExisted","La dirección de correo electrónico ingresada ya existe en el sistema."
"enabled","Habilitar"
"enterCustomerReference","Introduzca su referencia de cliente"
"exclTax","Excl. Impuesto"
"exportCSV","Exportar CSV"
"featuredItems","Elementos destacados"
"fieldIsRequired","{{fieldName}} es obligatorio!"
"firstNameRequired","Se requiere el primer nombre"
"forceLogoutMes","Su sesión de inicio de sesión ha caducado. Inicie sesión de nuevo para continuar."
"forgotPassword","Has olvidado tu contraseña"
"freeReturnStandard","Devoluciones gratis. Pedidos de envío estándar $ 99 +"
"fromYourAccountDashboardYouCanViewYour","Desde el panel de su cuenta puede ver su"
"fullName","Nombre completo"
"goShop","Ir de compras"
"grandTotalInclTax","Gran total (impuestos incluidos)"
"handling","Manejo"
"hi","Hi, {{fullName}}"
"ifYouWouldLikeToChangeCurrentLimit","Si desea cambiar el límite actual, elija hoy/este mes como inicio"
"importCSV.descFail1","Se han encontrado errores en el archivo CSV cargado."
"importCSV.descFail2","Resuelva los errores y vuelva a cargar el archivo CSV."
"importCSV.descRule1","El tamaño máximo de carga de archivos es de 5 MB."
"notAuthorized","Lo sentimos, no está autorizado para realizar esta acción."
"importCSV.descRule2","Solo se admite CSV UTF-8."
"importCSV.descRule3","Solo se importarán las primeras 500 líneas."
"importCSV.descRule4","El archivo CSV debe contener el código del producto (SKU) y la cantidad."
"importCSV.errEmpty","El archivo subido está vacío."
"importCSV.errFormat","El archivo cargado tiene un formato incorrecto o datos no válidos"
"importCSV.errFormatCSV","El archivo subido debe ser CSV"
"importCSV.lblBtnDownloadError","Descargar registro de errores"
"importCSV.lblBtnImportFile","Importar archivo"
"importCSV.lblDownloadCSV1","Descargar un"
"importCSV.lblDownloadCSV2","ejemplo de plantilla CSV"
"importCSV.lblDownloadCSV3","para ver un ejemplo de formato requerido."
"importCSV.noFile","Ningún archivo elegido"
"importCSV.titleFile","Elija el archivo"
"importCSV.titleMsgImportFail","Error al importar CSV"
"importCSV.titleMsgImportSuccess","Importar CSV con éxito"
"importCSV.warning","Advertencia:"
"importCSV.warningClearCartCSV","Su carrito actual se borrará después de importar"
"inStock","En stock"
"inclTax","Incluido Impuesto"
"isCreatedSuccessFully","se crea con exito"
"isDeletedSuccessFully","se elimina con exito"
"isDisabled","está deshabilitado"
"isEnabled","está habilitado"
"isRequired","(Requerido *)"
"isUpdatedSuccessFully","se actualiza con exito"
"lastNameRequired","Se requiere apellido"
"leaveBlank","dejar en blanco para dejar sin cambios"
"loadMore","Carga más"
"loading","Cargando"
"logInAsAB2BBuyer","Iniciar sesión como comprador B2B"
"login","Acceso"
"loginAsAgentSuccessful","Iniciar sesión como agente con éxito"
"loginAsAnAgent","Iniciar sesión como agente"
"loginAsCompanySuccessful","Iniciar sesión como propietario de la empresa con éxito"
"loginSuccessFull","Inicio de sesión exitoso"
"logout","Cerrar sesión"
"lowStock","Existencias bajas"
"manageYour","Administrar su"
"messageCheckoutCartNotAvailable","El pago no está disponible mientras su carrito está vacío."
"messageChoseACompany","Debido a que no ha elegido una empresa, los artículos seleccionados no se agregarán al carrito. ¿Desea seleccionar una empresa para comprar?"
"messageConfirmCancelUpdateQuote","¿Está seguro de cancelar la actualización de la cotización? El proceso no se guardará."
"messageConfirmDelItemFromCart","¿Está seguro de que desea eliminar este artículo del carrito de compras?"
"messageConfirmDeleteAddress","¿Quieres eliminar esta dirección?"
"messageConfirmPasswordNotMatch","¡Confirmar contraseña no coincide con la contraseña ingresada!"
"messageConfirmSaveDraftQuote","¿Estás seguro de guardar el borrador? Los datos en la sección de productos no se actualizarán."
"messageEmailNotInValidForm","Email is not in valid form"
"messageEnableOrderLimitSuccess","Límite de pedido para {{role}} {{status}}"
"messageLostPassword","¿Perdiste tu contraseña? Por favor, introduzca su nombre de usuario o dirección de correo electrónico. Recibirá un enlace para crear una nueva contraseña por correo electrónico."
"messageOrderLimitSuccess","Límite de pedido para {{role}} se actualiza con exito"
"messagePasswordValidate","Las contraseñas deben tener al menos 7 caracteres y contener caracteres alfabéticos, numéricos y especiales"
"messageSubtotalCannotBeMoreThan","El subtotal no puede ser más de"
"messageUserAccessStore","Si está habilitado, este usuario puede acceder a la tienda. Quieres proceder?"
"messageUserDeleteCannotContinueAccess","Si se elimina, este usuario no podrá continuar accediendo a su tienda. Quieres proceder?"
"messageValidateMaximumCharacters","{{fieldName}} must be maximum {{value}} characters."
"messageWarningBackorder","Nosotros no tenemos suficiente {{productName}} disponible por la cantidad que seleccionó. Cualquier saldo se pondrá en pedido pendiente."
"messageWarningMaxOrder","La cantidad máxima permitida para comprar es {{quantity}}"
"messageWarningMinOrder","La cantidad mínima permitida para comprar es {{quantity}}"
"messageYouDontHavePermission","No tienes permiso para realizar la acción."
"monthlyLimit","Límite mensual"
"multipleStorefront.message","Haga clic en la URL de la tienda para acceder a la tienda"
"multipleStorefront.storeName","Nombre de la tienda"
"variant_not_found","La variante del producto ya no está disponible en la tienda"
"messageQuoteFeatureNoLongerSupported","La cotización de funciones ya no se admite en su tienda"
"multipleStorefront.storeURL","URL de la tienda"
"multipleStorefront.title","Información de escaparate múltiple"
"multipleStorefronts","Acceso a varios escaparates"
