"name","value"
"level","Eben"
"permission.CartManagement","Warenkorbverwaltung"
"permission.CartCreateOrder","Bestellung aufgeben"
"permission.OrderManagement","Auftragsverwaltung"
"viewOrderDetails","Bestelldetails anzeigen"
"permission.OrderExport","Bestellung exportieren  "
"permission.OrderList","Bestellhistorie anzeigen"
"edit","Aktualisieren"
"day","Tag"
"month","Monat"
"per","Pro"
"noProductsFound","Es wurden keine Produkte gefunden, die Ihrer Auswahl entsprechen"
"removeReferenceSuccess","Referenz erfolgreich entfernen"
"addReferenceSuccess","Referenz erfolgreich hinzugefügt"
"someItemInvalidReOrder","Die folgenden Produkte wurden nicht erfolgreich nachbestellt, weil:"
"createEmploySuccess","Neuer Mitarbeiter wurde erfolgreich angelegt"
"updateEmploySuccess","Der Mitarbeiter wurde erfolgreich aktualisiert"
"validatePassword","Das Passwort muss mindestens 7 Zeichen lang sein und Buchstaben, Ziffern und Sonderzeichen enthalten."
"updateYourPassword","AKTUALISIEREN SIE IHR PASSWORT"
"reoder","Neu bestellen"
"reason","Grund"
"yourOrderIs","Ihre Bestellnummer ist #{{orderId}}"
"shippingFee","Versandkosten"
"shippingCost","Versandkosten"
"hasBeenDeleted","wurde gelöscht"
"hasBeenAdded","wurde Ihrem Warenkorb hinzugefügt"
"handlingCost","Bearbeitungskosten"
"updateCartSuccessFully","Einkaufswagen erfolgreich aktualisieren"
"newPasswordRequired","Neues Passwort ist ein Pflichtfeld"
"confirmNewPasswordRequired","Neues Passwort bestätigen ist ein Pflichtfeld"
"missingInformationRequired","Fehlende Informationen erforderlich"
"Agent","Agent"
"emailRequired","E-Mail ist erforderlich"
"resetPasswordSuccess","Dein Passwort wurde aktualisiert"
"messagePasswordNotMatch","Passwörter stimmen nicht überein"
"currentPasswordRequired","Aktuelles Passwort ist ein Pflichtfeld"
"currenyNotAvailble","Diese Währung ist nicht mehr verfügbar"
"productOutOfStock","Produkt ist ausverkauft"
"messageEnoughStock","Wir haben nicht genügend {{product name}}-Lagerbestand für die von Ihnen ausgewählte Menge. Bitte versuche es erneut"
"messageWarningMultiplier","Die Menge sollte ein Vielfaches von {{amount}} sein"
"shopAll","Alle einkaufen"
"resetAllFilters","Alle Filter zurücksetzen"
"price","Preis"
"filter","Filter"
"show","Zeigen"
"sku","Artikelnummer"
"category","Kategorie"
"stock","Aktie"
"addToCart","In den Warenkorb legen"
"description","Beschreibung"
"backorder","Nachbestellung"
"additionalInformation","zusätzliche Information"
"variant","Variante"
"orderQuantity","Bestellmenge"
"couponCode","Gutscheincode"
"Senior","Senior"
"Junior","Junior"
"Owner","Eigentümer"
"messageSessionExpired","Ihre Anmeldesitzung ist abgelaufen. Bitte melden Sie sich erneut an, um fortzufahren"
"youDontHavePermissionToPerformThisAction","Sie sind nicht berechtigt, die Aktion auszuführen"
"account_not_exist","Ihr Konto existiert nicht in unserem System"
"createdBy","Erstellt von"
"assignee","Abtretungsempfänger"
"sentDate","Sendedatum"
"expirationDate","Verfallsdatum"
"actions","Aktionen"
"status","Status"
"quoteStatusCode.DRAFT","ENTWURF"
"quoteStatusCode.NEW","NEU"
"quoteStatusCode.IN_PROGRESS","IN BEARBEITUNG"
"quoteStatusCode.SENT","GESENDET"
"quoteStatusCode.PENDING_APPROVAL","AUSSTEHENDE GENEHMIGUNG"
"quoteStatusCode.SUBMITTED","ABGEGEBEN"
"quoteStatusCode.ORDERED","BESTELLT"
"quoteStatusCode.EXPIRED","ABGELAUFEN"
"quoteStatusCode.DECLINED","ZURÜCKGEGANGEN"
"quote","VERKAUFSQUOTE"
"createQuote","NEUES ANGEBOT ERSTELLEN"
"searchQuote","Angebot suchen"
"from","Aus"
"company","Gesellschaft"
"clearAll","Alles löschen"
"search","Suche"
"lastUpdate","Letztes Update"
"send","Senden"
"delete","Löschen"
"messageDeleteQuote1","Dieses Zitat wird gelöscht./nMöchten Sie fortfahren?"
"messageUpdateProductsQuote","Bitte aktualisieren Sie Ihre Angebotsproduktliste, bevor Sie fortfahren"
"quoteRequestSuccessSubTitle","Das Angebot wurde erfolgreich übermittelt"
"viewQuoteDetails","Angebotsdetails anzeigen"
"submitQuoteRequest","Angebotsanfrage senden"
"contentModalConfirmQuoteCheckout","Dieses Angebot wird als separate Bestellung von Ihrem aktuellen Warenkorb platziert, die Daten Ihres aktuellen Warenkorbs bleiben nach dem Bezahlvorgang erhalten. Möchten Sie fortfahren?"
"quoteID","Angebots-ID"
"quoteValidateCheckout","Das Auschecken des Angebots war nicht erfolgreich, weil"
"quoteList","Zitatliste"
"enterCustomerMessageHere","Geben Sie hier Ihre Kundennachricht ein"
"enterQuoteNote","Geben Sie hier Ihre Angebotsnotiz ein"
"companyInformation","Firmeninformation"
"ownerName","Besitzername"
"ownerEmail","E-Mail des Besitzers"
"phoneNumber","Telefonnummer"
"quoteInformation","Angebotsinformationen"
"quoteExpirationDate","Ablaufdatum des Angebots"
"customerMessage","Kundennachricht"
"message","Kundennachricht"
"quoteNote","Zitat Hinweis"
"shippingInformation","Versandinformationen"
"selectExistingAddress","Vorhandene Adresse auswählen"
"firstName","Vorname"
"lastName","Familienname, Nachname"
"address","Die Anschrift"
"city","Stadt"
"country","Land"
"postCode","Postleitzahl"
"postcodeZip","PLZ"
"billingInformation","Abrechnungsdaten"
"products","Produkte"
"item","Artikel"
"quantity","Menge"
"tradePrice","Handelspreis"
"quotedPrice","Kurspreis"
"lineTotal","Zeilensumme"
"tradePriceTotal","Handelspreis insgesamt"
"discount","Rabatt"
"quoteSubtotal","Zwischensumme zitieren"
"shippingMethod","Versandart"
"tax","Steuer"
"grandTotal","Gesamtsumme"
"productOptions","Produktoptionen"
"cancel","Absagen"
"save","Speichern"
"titleModalQuoteValidateSend","Warnung: Das Senden des Angebots war nicht erfolgreich"
"quoteValidateSend","Das Senden des Angebots war nicht erfolgreich, weil"
"quotesManagement","Angebotsverwaltung"
"checkout","Auschecken"
"decline","Ablehnen"
"backToOrderHistory","Zurück zum Bestellverlauf"
"yes","Ja"
"detailQuote","Angebotsdetails"
"validTill","Gültig bis"
"orderID","Auftragsnummer"
"thisProductCurrentlyIsNotPurchasable","Dieses Produkt ist derzeit nicht käuflich. Bitte versuchen Sie es später erneut"
